MAG_Id	total_length	num_contigs	N50	GC_content	Anvio-Comp	Anvio-Red	Unique_markers	Multicopy	Domain
TARA_ANE_MAG_00001	1826698	77	31204	28.59	97.48	3.75	43	0	Bacteria
TARA_ANE_MAG_00002	3133556	10	658627	58.63	98.47	5.63	43	0	Bacteria
TARA_ANE_MAG_00003	1602643	140	16475	43.12	95.45	2.72	43	0	Bacteria
TARA_ANE_MAG_00004	2301261	65	71969	39.61	94.70	2.21	41	0	Bacteria
TARA_ANE_MAG_00005	2402163	115	38648	54.97	96.67	4.83	42	0	Bacteria
TARA_ANE_MAG_00006	1424655	69	37360	35.18	96.09	4.38	43	0	Bacteria
TARA_ANE_MAG_00007	2448482	282	11448	67.39	94.90	3.20	42	0	Bacteria
TARA_ANE_MAG_00008	1713062	85	31681	41.29	96.62	5.00	41	0	Bacteria
TARA_ANE_MAG_00009	5226535	317	23634	62.49	98.06	6.76	41	1	Bacteria
TARA_ANE_MAG_00010	1667110	86	30841	37.23	92.89	1.77	40	1	Bacteria
TARA_ANE_MAG_00011	2368516	57	62552	39.95	94.68	3.75	41	1	Bacteria
TARA_ANE_MAG_00012	1104700	39	64284	40.01	94.83	5.21	40	3	Bacteria
TARA_ANE_MAG_00013	2029860	253	10689	57.33	91.98	2.51	40	0	Bacteria
TARA_ANE_MAG_00014	946546	64	24056	30.75	96.94	7.51	42	1	Bacteria
TARA_ANE_MAG_00015	1459822	118	19080	39.86	94.02	4.92	41	0	Bacteria
TARA_ANE_MAG_00016	1991194	173	17152	31.35	94.40	5.99	42	0	Bacteria
TARA_ANE_MAG_00017	853034	32	37802	29.03	90.35	3.31	41	0	Bacteria
TARA_ANE_MAG_00018	1079517	115	12585	34.64	90.05	3.12	38	3	Bacteria
TARA_ANE_MAG_00020	1274336	19	110203	28.26	86.38	1.25	34	0	Bacteria
TARA_ANE_MAG_00021	2215790	215	14038	42.66	89.98	5.88	40	1	Bacteria
TARA_ANE_MAG_00022	2656647	396	8044	43.66	86.47	2.42	38	1	Bacteria
TARA_ANE_MAG_00023	1451325	189	8715	32.12	86.78	2.79	39	0	Bacteria
TARA_ANE_MAG_00025	1934443	145	18039	58.51	86.00	2.79	35	0	Bacteria
TARA_ANE_MAG_00026	1357143	206	7876	30.55	86.55	3.67	40	1	Bacteria
TARA_ANE_MAG_00028	1236140	114	15607	30.53	83.35	0.92	36	0	Bacteria
TARA_ANE_MAG_00029	1511996	116	19256	31.39	84.55	2.68	36	1	Bacteria
TARA_ANE_MAG_00031	2158947	382	6503	44.11	86.02	5.03	38	0	Bacteria
TARA_ANE_MAG_00032	1808585	276	8016	57.53	85.16	4.88	37	2	Bacteria
TARA_ANE_MAG_00033	1063449	128	9901	34.64	89.75	9.61	37	2	Bacteria
TARA_ANE_MAG_00034	1271082	236	5644	36.89	84.72	4.70	39	1	Bacteria
TARA_ANE_MAG_00035	866617	105	10809	29.22	84.20	4.19	36	0	Bacteria
TARA_ANE_MAG_00036	1200065	116	15268	28.20	82.72	3.24	35	0	Bacteria
TARA_ANE_MAG_00037	3266448	194	23973	51.78	86.07	6.90	32	1	Bacteria
TARA_ANE_MAG_00038	3563869	516	8040	54.96	83.46	4.30	36	1	Bacteria
TARA_ANE_MAG_00039	1212848	143	10864	30.58	81.21	2.11	34	0	Bacteria
TARA_ANE_MAG_00040	1640092	78	35044	27.89	83.35	4.60	27	1	Bacteria
TARA_ANE_MAG_00041	1515503	156	12222	28.30	82.72	4.72	34	0	Bacteria
TARA_ANE_MAG_00043	1590729	198	11275	30.64	81.50	3.96	32	0	Bacteria
TARA_ANE_MAG_00044	1112456	184	7136	28.89	81.38	3.89	38	0	Bacteria
TARA_ANE_MAG_00045	1851283	308	6678	51.94	80.17	3.13	38	0	Bacteria
TARA_ANE_MAG_00046	1897268	369	5543	37.92	82.00	5.17	34	0	Bacteria
TARA_ANE_MAG_00047	655103	75	10525	39.40	78.34	1.72	36	1	Bacteria
TARA_ANE_MAG_00048	1063669	204	5480	34.75	78.52	2.35	41	0	Bacteria
TARA_ANE_MAG_00049	989609	143	8411	34.02	77.09	1.26	27	0	Bacteria
TARA_ANE_MAG_00050	958701	149	7917	35.58	80.17	4.39	36	2	Bacteria
TARA_ANE_MAG_00051	1129719	126	11917	28.58	78.15	2.84	29	0	Bacteria
TARA_ANE_MAG_00053	654139	105	7097	32.06	76.65	1.61	34	1	Bacteria
TARA_ANE_MAG_00054	932675	167	6042	31.03	76.03	1.03	34	0	Bacteria
TARA_ANE_MAG_00056	1524396	105	20748	39.68	78.62	4.27	32	0	Bacteria
TARA_ANE_MAG_00057	2370711	379	7460	55.04	78.63	5.36	35	0	Bacteria
TARA_ANE_MAG_00058	1512383	227	7422	37.62	75.41	2.30	35	1	Bacteria
TARA_ANE_MAG_00059	1921614	352	5939	65.71	76.31	4.16	36	0	Bacteria
TARA_ANE_MAG_00060	1291471	99	19182	38.41	74.97	3.02	30	0	Bacteria
TARA_ANE_MAG_00061	967588	141	8243	28.77	73.55	2.17	31	0	Bacteria
TARA_ANE_MAG_00062	1386981	254	5981	42.30	72.40	1.77	35	0	Bacteria
TARA_ANE_MAG_00064	1233586	270	4697	39.88	78.42	8.20	38	2	Bacteria
TARA_ANE_MAG_00066	1221441	276	4451	38.30	73.54	4.47	34	0	Bacteria
TARA_ANE_MAG_00067	1938314	164	18169	31.91	70.83	1.99	26	0	Bacteria
TARA_ANE_MAG_00068	1094701	192	6609	27.81	71.46	3.26	28	1	Bacteria
TARA_ANE_MAG_00069	2090499	236	11176	32.37	72.95	5.78	23	9	Bacteria
TARA_ANE_MAG_00070	980282	171	6122	31.39	70.29	3.44	34	1	Bacteria
TARA_ANE_MAG_00071	846969	133	7465	29.45	74.13	7.54	32	4	Bacteria
TARA_ANE_MAG_00072	2555799	570	4524	34.81	65.46	0.00	20	0	Bacteria
TARA_ANE_MAG_00073	1471377	256	6438	37.45	70.15	4.86	31	0	Bacteria
TARA_ANE_MAG_00074	2017898	297	7920	61.86	70.29	5.33	29	0	Bacteria
TARA_ANE_MAG_00075	3138207	610	5704	58.71	66.51	1.83	27	0	Bacteria
TARA_ANE_MAG_00076	1184128	227	5608	44.56	71.53	7.00	34	2	Bacteria
TARA_ANE_MAG_00077	2359266	477	5250	58.15	66.40	2.06	30	1	Bacteria
TARA_ANE_MAG_00078	1977950	307	7996	48.48	72.23	8.03	25	7	Bacteria
TARA_ANE_MAG_00079	2334614	436	6016	38.73	65.33	3.08	31	1	Bacteria
TARA_ANE_MAG_00080	2018150	390	5610	54.18	67.49	5.81	26	1	Bacteria
